char_code,currency_name,year,observations,mean_rate_rub,median_rate_rub,min_rate_rub,max_rate_rub,first_rate_rub,last_rate_rub,std_rate_rub,mean_abs_daily_return_pct,max_abs_daily_return_pct,annualized_volatility_pct,extreme_return_days,annual_return_pct,rate_range_pct,gdp_growth_pct,inflation_consumer_prices_pct,official_exchange_rate_lcu_per_usd
USD,Доллар США,2015,247,61.319434817813764,62.6632,49.1777,72.8827,56.2376,72.8827,6.140059740295076,1.2571588596986631,11.555791854559928,27.284132192916292,7,29.59781356245643,48.202742299863544,-1.97271922580408,15.5343959935701,60.9376501088951
USD,Доллар США,2016,248,66.83347177419355,65.00970000000001,60.273,83.5913,72.9299,60.6569,5.008869501042279,0.8819771389181502,5.197366268402015,20.20244577540841,3,-16.828488726845926,38.687803825925386,0.193690071260534,7.04243725413707,67.0559333333333
USD,Доллар США,2017,247,58.29818461538461,58.3151,55.8453,60.7503,59.8961,57.6002,1.2104197282860754,0.5040564542406505,2.4264833915457196,10.119612442094752,0,-3.83313771681294,8.783192139714524,1.82579006401834,3.68333072334495,58.3428011851719
USD,Доллар США,2018,247,62.92638947368421,63.1358,55.6717,69.9744,57.0463,69.4706,4.062853284627549,0.5962918814991183,6.485247065974176,14.002760644694732,2,21.77932661715134,25.691150081639336,2.80724541059601,2.87831382614981,62.6681333333334
USD,Доллар США,2019,246,64.61843211382114,64.52715,61.7164,67.192,67.0795,61.9057,1.179939140381955,0.34902764603963143,3.4418876474364812,7.865066519468638,0,-7.712937633703287,8.872196045135471,2.19807571335009,4.47202631837903,64.7376583333333
USD,Доллар США,2020,243,72.32300205761317,73.5849,60.9474,80.8815,61.9057,73.8757,4.875955875759225,0.7593701859942268,6.6698263413189185,17.1845856959452,1,19.335860833493502,32.707055592199175,-2.65365450102773,3.38219796948068,72.1049083333333
USD,Доллар США,2021,248,73.66853951612903,73.598,69.5526,77.773,73.8757,74.2926,1.4040564214252753,0.45183452528011214,2.033435378332382,9.592729570954415,0,0.5643262940317362,11.818968665441698,5.86649177292595,6.69445891957612,73.65435
USD,Доллар США,2022,247,68.35216599190284,61.7032,51.158,120.3785,75.1315,70.3375,13.690291562882269,1.5231433579062295,12.537917308386115,39.96974889741436,24,-6.380812309084738,135.30728331834706,-1.43588213859842,13.7436797398232,68.4849416666667
USD,Доллар США,2023,247,85.81157085020243,88.6102,67.5744,101.3598,70.3002,89.6883,9.135536916343705,0.611666089257521,3.5809615805241335,13.60017749120916,0,27.57901115501804,49.99733626935645,4.08252481259281,5.86571931748967,85.1620083333333
USD,Доллар США,2024,248,92.65673064516129,91.57305,82.6282,109.5782,90.404,101.6797,4.994064274670775,0.5867552056518365,5.063686729767413,14.590764717185504,1,12.472567585505058,32.61598340518126,4.34437475491529,8.43486410496723,92.5524
USD,Доллар США,2025,247,83.21083238866397,80.9756,76.0937,103.438,102.2911,78.2267,6.227932875126125,0.6465457537317943,3.3261017319072494,14.307818834334645,0,-23.52540934646319,35.93503798606192,,,
USD,Доллар США,2026,105,76.49181428571428,76.6201,70.7902,84.8379,78.7913,71.9077,3.1168407226348256,0.6401729973531377,2.5261255598334253,13.115892225813713,0,-8.736497557471445,19.844130967280794,,,
