year,indicator_id,indicator_name,metric,value,last_updated
1998,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,9.70508333333333,2026-04-08
1997,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,5.78483333333334,2026-04-08
1996,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,5.12083333333333,2026-04-08
1995,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1994,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1993,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,0.991666666666667,2026-04-08
1992,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1991,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1990,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1989,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1988,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1987,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1986,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1985,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1984,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1983,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1982,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1981,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1980,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1979,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1978,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1977,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1976,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1975,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1974,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1973,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
